time_s,pH
1023.56,7.7108
1024.56,7.7108
1026.82,7.7143
1028.88,7.7108
1030.9,7.709
1031.64,7.7143
1033.93,7.7126
1035.95,7.7126
1037.95,7.709
1039.94,7.7126
1040.72,7.7126
1041.72,7.709
1043.98,7.709
1044.76,7.7143
1045.76,7.709
1048.02,7.7126
1050.0,7.7126
1050.79,7.7126
1051.78,7.7126
1054.04,7.7143
1056.06,7.7143
1056.81,7.709
1057.81,7.7126
1060.08,7.7161
1060.85,7.7126
1061.84,7.7161
1064.1,7.7126
1064.81,7.7126
1066.12,7.7126
1066.93,7.7161
1067.93,7.7126
1070.21,7.7161
1070.94,7.7126
1072.25,7.7179
1074.29,7.7161
1076.33,7.7161
1077.11,7.7179
1078.11,7.7179
1080.36,7.7161
1082.41,7.7161
1084.5,7.7179
1086.56,7.7161
1088.63,7.7179
1090.7,7.7161
1091.44,7.7179
1092.76,7.7179
1093.57,7.7196
1094.57,7.7161
1096.83,7.7161
1098.86,7.7214
1099.64,7.7161
1100.64,7.7161
1102.9,7.7179
1104.92,7.7161
1105.67,7.7161
1106.68,7.7214
1108.93,7.7196
1110.92,7.7196
1112.97,7.7196
1113.71,7.7196
1114.71,7.7214
1116.95,7.7214
1117.73,7.7214
1119.96,7.7214
1121.98,7.7214
1124.01,7.7196
1126.04,7.7196
1128.05,7.7196
1128.83,7.7196
1129.83,7.7231
1132.08,7.7249
1132.83,7.7249
1134.16,7.7249
1136.22,7.7249
1138.27,7.7249
1140.5,7.7231
1142.36,7.7249
1143.12,7.7231
1144.46,7.7231
1146.57,7.7231
1148.66,7.7249
1149.4,7.7231
1150.76,7.7231
1151.58,7.7231
1152.58,7.7249
1154.84,7.7267
1155.59,7.7231
1156.98,7.7284
1159.02,7.7231
1161.02,7.7231
1163.03,7.7249
1163.79,7.7284
1164.79,7.7284
1167.08,7.7284
1169.17,7.7267
1169.92,7.7267
1171.28,7.7267
1173.39,7.7284
1174.13,7.7231
1175.51,7.7284
1176.32,7.7267
1177.32,7.7231
1179.54,7.7249
1181.58,7.7267
1183.61,7.7267
1185.65,7.7267
1186.42,7.7284
1187.43,7.7302
1189.7,7.7267
1191.74,7.732
1192.54,7.732
1193.82,7.7267
1194.59,7.7267
1195.59,7.732
1197.84,7.7267
1198.57,7.7267
1199.93,7.732
1201.95,7.7302
1202.71,7.7302
1204.0,7.7302
1204.75,7.7267
1206.28,7.7249
1208.07,7.7231
1210.1,7.7231
1212.2,7.7196
1214.27,7.7179
1216.32,7.7161
1217.07,7.7161
1218.49,7.7179
1219.25,7.7161
1220.6,7.7126
1221.35,7.7126
1222.42,7.709
1223.79,7.7143
1225.83,7.709
1227.86,7.709
1228.63,7.709
1229.63,7.7055
1231.86,7.7055
1232.62,7.709
1234.85,7.7143
1236.88,7.709
1237.63,7.7161
1238.62,7.7214
1240.85,7.7214
1241.64,7.7214
1242.64,7.7196
1244.88,7.7214
1246.9,7.7249
1248.93,7.7231
1250.91,7.7231
1251.68,7.7249
1253.94,7.7231
1254.69,7.7284
1255.7,7.7267
1256.7,7.7267
1258.95,7.7284
1259.7,7.7284
1260.7,7.7284
1262.92,7.7267
1263.7,7.7267
1264.7,7.7267
1266.99,7.7267
1267.75,7.7267
1269.03,7.7302
1269.79,7.7267
1270.79,7.7249
1273.02,7.7267
1273.79,7.7284
1274.79,7.7302
1277.04,7.7267
1277.79,7.7267
1278.8,7.7267
1279.8,7.7302
1282.03,7.7267
1284.05,7.7267
1286.07,7.7302
1288.08,7.7284
1290.11,7.7267
1290.93,7.7302
1291.93,7.7302
1294.2,7.7302
1296.28,7.7302
1298.31,7.7267
1300.34,7.7302
1302.41,7.7302
1304.45,7.7302
1306.5,7.732
1308.55,7.7267
1310.58,7.732
1312.59,7.7267
1314.64,7.732
1316.72,7.7284
1317.44,7.732
1318.8,7.732
1320.82,7.7284
1322.87,7.732
1323.63,7.732
1324.63,7.732
1326.9,7.732
1328.94,7.7302
1329.7,7.7267
1330.7,7.732
1332.96,7.732
1334.97,7.732
1336.98,7.7267
1338.98,7.7231
1341.07,7.7267
1342.07,7.7196
1344.03,7.7231
1344.8,7.7231
1345.8,7.7161
1348.06,7.7214
1348.81,7.7214
1349.82,7.7214
1350.82,7.7161
1353.19,7.7143
1355.24,7.7126
1357.32,7.709
1359.38,7.7143
1360.16,7.709
1361.16,7.7108
1363.42,7.709
1365.5,7.7108
1366.23,7.7108
1367.58,7.7126
1369.63,7.7214
1371.69,7.7196
1373.78,7.7214
1374.56,7.7196
1375.56,7.7196
1377.82,7.7249
1378.61,7.7214
1379.61,7.7249
1381.83,7.7214
1383.86,7.6984
1385.9,7.6843
1386.65,7.6702
1387.65,7.6402
1390.06,7.5855
1392.07,7.5696
1392.87,7.5519
1393.9,7.529
1394.9,7.5007
1397.13,7.4831
1399.19,7.4672
1401.27,7.4566
1403.33,7.4566
1404.06,7.446
1405.39,7.4372
1407.44,7.4354
1409.52,7.4354
1410.23,7.4266
1411.55,7.4266
1412.34,7.4266
1413.34,7.4196
1415.58,7.4196
1416.38,7.4213
1417.39,7.4213
1418.39,7.4161
1420.62,7.4178
1422.67,7.4125
1423.45,7.4143
1424.45,7.4125
1426.71,7.4125
1428.76,7.4126
1430.77,7.409
1431.56,7.4091
1432.56,7.4091
1434.84,7.4073
1436.83,7.4091
1437.59,7.4091
1439.87,7.4091
1440.64,7.4038
1441.64,7.4038
1443.89,7.4091
1444.65,7.4073
1446.92,7.4038
1448.92,7.4038
1450.92,7.4038
1452.9,7.4091
1453.69,7.4073
1454.69,7.4038
1456.93,7.4021
1458.96,7.4021
1460.94,7.4074
1461.72,7.4074
1463.97,7.4021
1464.72,7.4021
1465.98,7.4021
1466.76,7.4056
1467.76,7.4056
1469.99,7.4021
1472.01,7.4038
1474.04,7.4056
1474.8,7.4056
1475.8,7.4021
1478.06,7.4056
1480.1,7.4074
1480.9,7.4056
1481.9,7.4056
1484.14,7.4056
1486.18,7.425
1488.21,7.4602
1490.24,7.4673
1492.28,7.4708
1493.07,7.4708
1494.36,7.4708
1495.12,7.4708
1496.42,7.469
1498.49,7.4655
1500.52,7.4673
1501.33,7.4708
1502.34,7.4725
1504.55,7.4761
1505.35,7.4796
1506.35,7.4972
1508.6,7.5078
1510.62,7.5131
1511.39,7.5148
1512.39,7.5201
1514.64,7.5201
1516.69,7.499
1518.75,7.4954
1519.56,7.4919
1520.56,7.4726
1522.77,7.462
1524.82,7.462
1525.58,7.4585
1526.58,7.4602
1528.82,7.4602
1529.58,7.4602
1530.58,7.4602
1531.58,7.4602
1533.85,7.4602
1536.02,7.4602
1538.03,7.4602
1538.8,7.4585
1540.16,7.4585
1542.28,7.462
1544.38,7.462
1545.16,7.4655
1546.46,7.462
1548.56,7.4567
1550.64,7.4585
1551.4,7.4603
1552.7,7.4567
1553.54,7.4585
1554.81,7.4585
1555.61,7.4585
1556.61,7.4585
1558.87,7.4567
1559.63,7.4567
1560.63,7.4567
1562.95,7.4567
1563.71,7.4585
1565.01,7.4567
1565.8,7.4567
1566.79,7.4567
1569.05,7.4585
1571.09,7.4585
1571.87,7.4585
1572.87,7.4567
1575.08,7.4567
1577.14,7.4567
1579.19,7.4585
1579.93,7.4532
1581.22,7.4532
1583.27,7.4532
1585.3,7.4567
1587.32,7.455
1589.36,7.4585
1591.39,7.4585
1592.21,7.4532
1593.21,7.4532
1595.48,7.4532
1597.52,7.4585
1599.57,7.4585
1601.59,7.455
1602.38,7.4585
1603.39,7.4567
1605.64,7.4585
1607.69,7.4532
1608.49,7.4585
1609.49,7.4585
1610.88,7.462
1612.86,7.4691
1614.91,7.4691
1615.67,7.4726
1616.95,7.4726
1617.73,7.4708
1618.73,7.4796
1620.96,7.4779
1622.99,7.4831
1623.74,7.4779
1625.0,7.4796
1625.77,7.4761
1626.77,7.4708
1629.01,7.4761
1629.76,7.4673
1630.77,7.4673
1631.77,7.4691
1634.01,7.462
1636.04,7.462
1638.07,7.4567
1638.84,7.4567
1639.84,7.462
1642.06,7.4585
1642.83,7.4585
1645.1,7.4585
1647.14,7.4568
1647.92,7.455
1648.92,7.4568
1651.16,7.4568
1651.94,7.455
1652.94,7.4603
1655.21,7.4603
1655.93,7.455
1657.29,7.4585
1659.34,7.4585
1661.37,7.4638
1663.4,7.4656
1664.2,7.4638
1665.2,7.4638
1667.48,7.4673
1668.28,7.4691
1669.29,7.4656
1671.51,7.4708
1673.56,7.4708
1675.64,7.4656
1677.68,7.4673
1679.72,7.4656
1681.76,7.462
1682.55,7.462
1683.55,7.462
1685.79,7.4673
1686.55,7.4638
1687.55,7.4585
1689.81,7.4585
1690.6,7.4585
1691.6,7.462
1693.84,7.4585
1695.89,7.4585
1697.91,7.4585
1699.93,7.4603
1701.93,7.4585
1702.72,7.4603
1703.72,7.462
1705.95,7.4603
1707.98,7.462
1708.74,7.4638
1709.73,7.462
1711.95,7.4673
1714.0,7.4656
1716.01,7.4656
1718.07,7.4656
1720.14,7.4673
1720.91,7.4656
1722.19,7.4673
1724.26,7.4638
1725.0,7.4656
1726.35,7.4673
1728.43,7.4656
1729.15,7.4621
1730.45,7.4621
1732.47,7.4638
1733.27,7.4621
1734.27,7.4621
1736.54,7.4621
1737.26,7.4568
1738.33,7.4621
1739.33,7.4621
1740.34,7.4621
1741.34,7.4621
1742.59,7.4603
1743.4,7.4621
1744.4,7.4603
1745.4,7.4603
1746.4,7.4603
1748.68,7.4603
1750.73,7.4621
1752.76,7.4586
1754.85,7.4621
1755.61,7.4603
1756.61,7.4603
1758.87,7.4603
1760.87,7.4656
1762.88,7.4603
1763.63,7.4603
1764.63,7.4603
1765.66,7.4603
1766.66,7.4603
1767.66,7.4603
1768.67,7.4603
1769.67,7.4603
1771.93,7.4603
1773.96,7.4638
1776.02,7.4603
1778.05,7.4621
1780.1,7.4568
1782.15,7.4621
1784.22,7.4568
1784.99,7.4603
1785.99,7.4621
1788.27,7.4603
1789.06,7.4603
1790.06,7.4586
1791.07,7.4621
1792.07,7.4621
1794.35,7.4568
1796.43,7.4603
1798.49,7.4568
1800.53,7.4568
1802.55,7.4603
1803.34,7.4568
1804.34,7.4621
1806.62,7.4586
1808.67,7.4621
1809.46,7.4621
1810.45,7.4621
1812.68,7.4603
1814.73,7.4603
1815.45,7.4603
1816.83,7.4568
1818.89,7.4603
1819.67,7.4603
1820.67,7.4621
1822.91,7.4586
1823.68,7.4586
1824.68,7.4533
1826.94,7.4463
1827.69,7.4375
1828.69,7.4322
1829.69,7.4181
1831.93,7.4164
1833.91,7.4041
1835.95,7.3953
1837.98,7.39
1838.72,7.3953
1839.74,7.3865
1840.75,7.3918
1841.75,7.3847
1844.0,7.3795
1844.77,7.3795
1845.76,7.3847
1848.02,7.3812
1850.05,7.3795
1852.06,7.3795
1852.82,7.376
1853.82,7.376
1856.06,7.376
1858.07,7.3778
1860.06,7.376
1862.06,7.3725
1864.1,7.3725
1864.86,7.3743
1866.18,7.369
1866.89,7.369
1868.23,7.3655
1870.28,7.3708
1871.1,7.3708
1872.1,7.3655
1874.34,7.3655
1875.07,7.3655
1876.41,7.3673
1878.45,7.3637
1880.51,7.362
1882.55,7.3585
1883.36,7.3637
1884.36,7.3585
1886.61,7.3585
1887.34,7.3585
1888.4,7.3602
1890.64,7.3585
1891.44,7.3585
1892.44,7.3585
1894.7,7.3585
1895.43,7.3602
1896.78,7.3602
1898.8,7.355
1900.83,7.355
1902.88,7.3585
1904.88,7.3585
1905.65,7.355
1907.9,7.355
1909.9,7.355
1911.87,7.3567
1912.66,7.3567
1913.66,7.355
1915.94,7.355
1916.72,7.355
1917.72,7.3567
1919.98,7.355
1920.75,7.355
1921.75,7.3585
1922.75,7.3585
1924.99,7.3585
1925.74,7.3585
1928.0,7.3585
1929.99,7.3585
1930.77,7.3585
1931.77,7.3568
1934.02,7.3585
1936.03,7.3585
1936.79,7.3568
1937.79,7.3568
1940.06,7.3585
1942.1,7.362
1942.84,7.362
1944.17,7.3603
1946.26,7.3673
1948.3,7.3743
1950.38,7.3796
1952.43,7.3831
1954.48,7.3831
1955.23,7.3831
1956.58,7.3778
1958.65,7.3796
1960.66,7.3796
1962.7,7.3708
1964.75,7.3708
1966.81,7.3726
1967.6,7.3673
1968.6,7.3638
1970.81,7.3603
1971.59,7.3603
1972.59,7.3603
1974.88,7.3603
1975.88,7.3621
1977.84,7.3621
1978.6,7.3568
1980.85,7.3621
1981.61,7.3621
1982.89,7.3621
1983.68,7.3603
1984.68,7.3604
1986.9,7.3586
1988.93,7.3586
1989.67,7.3586
1990.68,7.3551
1991.69,7.3551
1992.7,7.3534
1993.7,7.3534
1995.99,7.3499
1996.76,7.3446
1997.76,7.3464
2000.02,7.3446
2000.79,7.3464
2001.79,7.3499
2004.07,7.3446
2004.84,7.3464
2005.84,7.3411
2008.09,7.3411
2010.14,7.3464
2012.17,7.3411
2014.23,7.3428
2014.95,7.3464
2016.34,7.3464
2017.06,7.3446
2018.41,7.3464
2020.47,7.3428
2022.52,7.3464
2024.59,7.3411
2026.66,7.3411
2028.71,7.3446
2030.75,7.3464
2031.55,7.3464
2032.55,7.3446
2034.81,7.3464
2036.86,7.3464
2038.86,7.3446
2040.88,7.3446
2041.65,7.3446
2042.65,7.3446
2043.65,7.3499
2045.9,7.3464
2047.93,7.3446
2048.7,7.3446
2049.7,7.3446
2051.14,7.3499
2053.18,7.3534
2055.24,7.3481
2057.33,7.3534
2059.41,7.3586
2061.44,7.3569
2063.47,7.3604
2065.52,7.3586
2067.59,7.3604
2068.39,7.3586
2069.4,7.3586
2071.62,7.3569
2073.69,7.3569
2075.76,7.3551
2076.49,7.3516
2077.81,7.3569
2079.82,7.3534
2081.85,7.3534
2083.84,7.3516
2084.62,7.3499
2086.87,7.3481
2087.64,7.3516
2088.64,7.3516
2089.64,7.3499
2091.89,7.3499
2092.66,7.3481
2093.67,7.3499
2094.67,7.3534
2096.95,7.3516
2099.0,7.3499
2099.78,7.3481
2100.78,7.3516
2103.02,7.3481
2105.05,7.3534
2107.07,7.3534
2109.08,7.3516
2111.05,7.3534
2113.11,7.3552
2115.17,7.3552
2115.91,7.3552
2117.25,7.3552
2119.33,7.3552
2121.37,7.3552
2123.42,7.3552
2124.23,7.3587
2125.24,7.3569
2127.47,7.3552
2129.54,7.3569
2130.28,7.3517
2131.61,7.3552
2133.68,7.3517
2135.72,7.3517
2137.79,7.357
2139.8,7.357
2141.81,7.3535
2143.85,7.3517
2145.88,7.3535
2147.94,7.3517
2148.71,7.357
2149.71,7.357
2151.94,7.3605
2153.94,7.3552
2154.7,7.357
2155.7,7.3552
2157.96,7.3552
2159.96,7.3605
2160.72,7.357
2161.72,7.3552
2163.97,7.3587
2164.72,7.3605
2165.99,7.3587
2166.79,7.3587
2167.79,7.3605
2170.01,7.3605
2172.03,7.3587
2172.78,7.3605
2175.03,7.3605
2175.8,7.3587
2176.8,7.3552
2179.11,7.3552
2181.12,7.3605
2183.17,7.357
2185.21,7.357
2185.98,7.3605
2186.98,7.357
2189.26,7.3605
2191.29,7.3587
2193.37,7.3552
2195.45,7.3552
2196.19,7.3587
2197.53,7.3605
2199.61,7.3587
2200.34,7.3552
2201.66,7.357
2202.45,7.3552
2203.45,7.3605
2205.72,7.3587
2207.79,7.3605
2209.81,7.3587
2210.59,7.3605
2211.59,7.3605
2213.83,7.3605
2215.88,7.3605
2216.61,7.3552
2217.96,7.3587
2220.0,7.3587
2220.78,7.357
2221.78,7.3587
2224.0,7.3587
2226.05,7.3587
2226.8,7.3622
2227.8,7.3605
2230.04,7.3605
2230.82,7.3587
2231.82,7.3587
2234.08,7.3587
2234.84,7.3587
2235.85,7.3587
2236.85,7.3605
2239.11,7.3605
2239.86,7.3605
2241.19,7.3622
